time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-30T12:25:23.990Z,-32.2086,-70.0517,115.09,4.3,mb,,67,0.696,0.65,us,us2000iz7n,2019-03-05T17:46:39.040Z,"86 km NE of Los Andes, Chile",earthquake,5.4,9.8,0.307,3,reviewed,us,us
2018-12-30T04:48:33.030Z,-24.128,-66.6556,194.34,4.5,mb,,54,1.823,1.26,us,us2000iz3d,2019-03-05T17:46:39.040Z,"35 km WNW of San Antonio de los Cobres, Argentina",earthquake,8.5,8.3,0.08,46,reviewed,us,us
2018-12-29T16:31:21.470Z,-23.5244,-66.9726,231.24,4.5,mb,,50,1.247,0.66,us,us2000iyyl,2019-03-05T17:46:38.040Z,"101 km NW of San Antonio de los Cobres, Argentina",earthquake,9.8,13.3,0.242,5,reviewed,us,us
2018-12-29T13:57:16.150Z,-29.8408,-72.0665,41.42,4.6,mb,,147,0.723,0.55,us,us2000iyxd,2019-03-05T17:46:38.040Z,"71 km W of Coquimbo, Chile",earthquake,2.5,9.9,0.193,8,reviewed,us,us
2018-12-28T20:33:29.670Z,-19.8772,-69.1169,100.12,4.3,mb,,70,0.22,1.14,us,us2000iyqb,2019-03-05T17:46:37.040Z,"114 km ENE of Iquique, Chile",earthquake,5.1,7.3,0.137,21,reviewed,us,us
2018-12-27T20:28:35.260Z,-31.5856,-69.8371,126.78,4,mb,,69,0.984,0.91,us,us2000iy75,2019-03-05T17:46:36.040Z,"48 km SW of Calingasta, Argentina",earthquake,6.9,12.3,0.26,4,reviewed,us,us
2018-12-27T08:55:42.150Z,-16.3939,-69.8565,202.94,4.4,mb,,109,1.242,0.86,us,us2000iy0m,2019-03-05T17:46:35.040Z,"39 km SSW of Ilave, Peru",earthquake,4.8,8.3,0.17,10,reviewed,us,us
2018-12-27T02:41:01.150Z,-32.0042,-69.3981,117.42,4.5,mb,,48,0.76,0.81,us,us2000ixxq,2019-03-05T17:46:35.040Z,"74 km S of Calingasta, Argentina",earthquake,3.5,6.3,0.106,26,reviewed,us,us
2018-12-26T21:34:28.780Z,-14.5303,-76.052,42.71,4,mb,,182,2.642,0.71,us,us2000j3t1,2019-03-05T17:46:34.040Z,"53 km SW of Santiago, Peru",earthquake,10.3,11.1,0.258,4,reviewed,us,us
2018-12-26T19:58:23.580Z,-32.3614,-70.1816,116.74,3.9,mb,,65,0.508,0.43,us,us2000ixsm,2019-03-05T17:46:34.040Z,"65 km NE of Los Andes, Chile",earthquake,5.7,6.1,0.515,1,reviewed,us,us
2018-12-26T01:01:30.080Z,-20.9862,-66.9599,217.15,4.2,mb,,54,2.22,1.19,us,us2000ixk6,2019-03-05T17:46:33.040Z,"59 km SSW of Uyuni, Bolivia",earthquake,8.4,7.5,0.102,27,reviewed,us,us
2018-12-24T23:14:02.210Z,-18.2938,-71.2259,35,4.1,mb,,212,0.843,1.22,us,us2000ixa4,2019-03-05T17:46:32.040Z,"72 km S of Pacocha, Peru",earthquake,7.2,2,0.262,4,reviewed,us,us
2018-12-24T20:55:57.800Z,-22.1407,-68.953,99.64,4.6,mb,,62,0.435,1.02,us,us2000ix89,2019-03-05T17:46:32.040Z,"35 km N of Calama, Chile",earthquake,5.7,4.2,0.07,60,reviewed,us,us
2018-12-24T15:08:40.870Z,-18.2905,-69.4142,144.72,4.1,mb,,78,0.7,1,us,us2000ix5i,2019-03-05T17:46:32.040Z,"81 km SE of Palca, Peru",earthquake,6.3,6.9,0.158,11,reviewed,us,us
2018-12-24T07:18:17.940Z,-21.5679,-68.543,139.5,4.3,mb,,50,0.688,0.78,us,us2000ix0p,2019-03-05T17:46:31.040Z,"105 km NNE of Calama, Chile",earthquake,6.7,5.8,0.142,14,reviewed,us,us
2018-12-24T02:19:29.970Z,-21.4053,-68.2275,114.54,5,mwr,,39,1.021,0.85,us,us2000iwy7,2019-03-05T17:46:31.040Z,"136 km NNE of Calama, Chile",earthquake,6.1,3.9,0.06,27,reviewed,us,us
